path,scope,sha256,lines,chars,description_chars,frontmatter_first_line
.agents/skills/ascend-memory-profiling/SKILL.md,workspace,519d25f9a82db94a1d8f579336efdffa55fb618552fbef5391be98036f973eb8,289,16539,397,True
.agents/skills/ascend-operator-debug/SKILL.md,workspace,9bf94487695a6d25db907575af86ebd585fc5698054436c439d4d5efef1eb567,57,2847,438,True
.agents/skills/ascend-profiling-analysis/SKILL.md,workspace,5f82c432ebbc258547d85f8f32d12e41d53fbeb25c59d5eb4efc0f5637d55132,432,30269,709,True
.agents/skills/ascend-profiling-collection/SKILL.md,workspace,c1e9973015cf4eb269fff50f2f88829b992f4281f1a1dc603d6fc796d7c1970b,225,17328,594,True
.agents/skills/ascend-triton-kernel-optimization/SKILL.md,workspace,4cabf6f4b4bdc81036126168e291e02e2a368fc41abf1b2968560cc030f01cfc,44,3249,574,True
.agents/skills/ascend-triton-kernel-validation/SKILL.md,workspace,185ce383a3d161c186acdcdfcee35b901dc38e3a40841bd7ad80ae8325a1c086,42,2977,584,True
.agents/skills/ascend-triton-operator-development/SKILL.md,workspace,e125803f09f1db22374fd675adadf9d7d535ec023284cfb13cf502d0f737d8e2,43,3120,567,True
.agents/skills/ascend-triton-workflow/SKILL.md,workspace,0e3d06b86eb34200aae65801e8a121a83427d3d47388f25e7bae4cfe3625fad3,44,2784,456,True
.agents/skills/curate-workspace-knowledge/SKILL.md,workspace,065b3431811d90451b031287eb132afce46eee881c6741877417b1c49d35ea03,56,2898,530,True
.agents/skills/machine-management/SKILL.md,workspace,1f2d249375dea8d1223773b2a9c6cb5454301e3b8555646aefc13ab3f3d95743,247,16015,212,True
.agents/skills/modelscope/SKILL.md,workspace,b4b5377a496ddf2a95eb758f7563967d024226c58a4598b4e874beb071f74bcb,84,3353,271,True
.agents/skills/npu-fleet-monitor/SKILL.md,workspace,b3abb444b24800c63436f80dc5e83e22785e1253e36503214e0113e72c9eadd1,54,2576,309,True
.agents/skills/remote-code-parity/SKILL.md,workspace,fe7e295e9b523531958a1ac1aca086afd10d6b977773b797eb69a49580bde240,337,21041,388,True
.agents/skills/remote-toolbox/SKILL.md,workspace,5156930a0d35fdbefbd5ac26fce3e8fc6c253625cb68c93776baeff0ae492231,110,5127,187,True
.agents/skills/repo-init/SKILL.md,workspace,8851fc5e7a98034d54505cb55d7540d39d763777d1706bc530775a0edd12fd5a,198,9956,224,True
.agents/skills/session-management/SKILL.md,workspace,f8eb6572171f6efbab2e429ec368675e6de2f67473d8a659d36b643417ddbf4a,192,13694,338,True
.agents/skills/vllm-ascend-benchmark/SKILL.md,workspace,fadf8c71785179784f8311055125f98c4379211f381d0e5dde74abea5750779f,242,15922,254,True
.agents/skills/vllm-ascend-change-validation/SKILL.md,workspace,73216472dcd045aa649f381116f236267807a65f032ebc9d9ff57de53e3c95ce,53,3163,487,True
.agents/skills/vllm-ascend-correctness-validation/SKILL.md,workspace,6679939c999baf433e8187c2299810d2509f7272f9e14cfd524227b21f47c6c4,73,4417,522,True
.agents/skills/vllm-ascend-distributed-debug/SKILL.md,workspace,9c64352dd5095427895b2ecf2a18e24329f96ece1b9f35795b1a9e83ae2607f7,58,2778,428,True
.agents/skills/vllm-ascend-graph-debug/SKILL.md,workspace,88bb6088bfc5bdec30f9629ae886066be2da8916ee7311bd4ed561473bcb5fbf,233,7921,404,True
.agents/skills/vllm-ascend-pd-serving/SKILL.md,workspace,cc105c29c328b124620b31afbe99114c38e96f11534ab86e645b5808b1eec4d4,62,2954,442,True
.agents/skills/vllm-ascend-performance-regression/SKILL.md,workspace,3c753727ddac2ca0527760e780702e0202763b5a82544dbd9dd7baee2f84810d,57,3022,489,True
.agents/skills/vllm-ascend-serving/SKILL.md,workspace,35f44f42ce5247277fe256f0e61cd35ae0887238448594d30cc7968a92efcc32,259,14055,286,True
.claude/skills/ascend-memory-profiling/SKILL.md,workspace,e7c583c46d2af97085da280838b8cf022ad879dd548ae25de09ddc91ff60a4cc,18,998,397,False
.claude/skills/ascend-operator-debug/SKILL.md,workspace,40ae0b8c9276f5e69e0e943425004d758bd87f9be1c00a4add1ba89dffa4929e,18,1031,438,False
.claude/skills/ascend-profiling-analysis/SKILL.md,workspace,f7c87a7bf18d2cdfa120c77bb0eac65727683dec4cfaa6725fc71ab430a82d78,18,1318,709,False
.claude/skills/ascend-profiling-collection/SKILL.md,workspace,5df331a48a1649b8648c45987d97752c4d0eb24eca4cda1a349843f7a976660c,18,1211,594,False
.claude/skills/ascend-triton-kernel-optimization/SKILL.md,workspace,38de22872faaa3e3e1dbb0964e709753384a07b75410b2760a93e7f58758a13e,18,1215,574,False
.claude/skills/ascend-triton-kernel-validation/SKILL.md,workspace,c1996c66dcd4af4afef097f44c81cb5a1551a2a0f550df26305a95cd6216339e,18,1217,584,False
.claude/skills/ascend-triton-operator-development/SKILL.md,workspace,0c2cd71ead81bd505efb4eda847fbb045d3bc503d171d6bb7dddfc4afdc11078,18,1212,567,False
.claude/skills/ascend-triton-workflow/SKILL.md,workspace,28609093bf86524b1e5e2c0ad591b0c1871bbcd2aa1df4deeb622750cafa1617,18,1053,456,False
.claude/skills/curate-workspace-knowledge/SKILL.md,workspace,189c6890083e1ac8c05a287c227e2c6113532b2ca6c63b57274effc582894970,18,1143,530,False
.claude/skills/machine-management/SKILL.md,workspace,e060dc9cb6cd890610a0be3c1cfa6343a8185efffa7c6a7d59de5d377dc407df,18,793,212,False
.claude/skills/modelscope/SKILL.md,workspace,cff1e2e58e29ba9e5c03cba3a795f5c9899ee630288fd546bf4231a591a79a0e,18,822,271,False
.claude/skills/npu-fleet-monitor/SKILL.md,workspace,6df7b8cb7e7aea9e758e9a0b98c6cbae150e0c184c18fb24e00bab2aa008f43a,18,883,309,False
.claude/skills/remote-code-parity/SKILL.md,workspace,6114fbb3612fc19a31ec64c069d088649260e39ffda2b0da268932d032107872,18,969,388,False
.claude/skills/remote-toolbox/SKILL.md,workspace,69ba0edd3fabcf61901f7f1165cc2f402c719e1dd869a0385009ab8f0fdcb084,18,757,187,False
.claude/skills/repo-init/SKILL.md,workspace,bfc38068f92e6e51bf936c83e087c9ef3c82eca461162c688b42ab313128cf4a,18,769,224,False
.claude/skills/session-management/SKILL.md,workspace,cfc9e924e11e5c6f221836af21ab33d13c21ad732e853b12ec2cdc54830ba1c2,18,919,338,False
.claude/skills/vllm-ascend-benchmark/SKILL.md,workspace,7685f00659a2e9111cdc71fc8ab8e71af62686787e329fb3bf0ebdb6f3fc4f72,18,847,254,False
.claude/skills/vllm-ascend-change-validation/SKILL.md,workspace,f6a033e7a5b4270626bf159e57f72e89a5885405217284659d8462db224932c7,18,1112,487,False
.claude/skills/vllm-ascend-correctness-validation/SKILL.md,workspace,7d4cf5568dfc9b029aab14802ca2a19a81bc5962bd29cd95740ff88f97267cb5,18,1167,522,False
.claude/skills/vllm-ascend-distributed-debug/SKILL.md,workspace,63c4bf9453968bf6a880ac4b6d4b1b52c3d85cdf336ea4e91cf3af4d68d8371c,18,1053,428,False
.claude/skills/vllm-ascend-graph-debug/SKILL.md,workspace,51695bc5feeb369b6e92de668c50dd2ca35563a19f3d64e441427f527757cf6b,18,997,404,False
.claude/skills/vllm-ascend-pd-serving/SKILL.md,workspace,ecfe6f7201a3eacc25b20517e3caf069042d039e4d643e1cb0756f3fa2890d4e,18,1039,442,False
.claude/skills/vllm-ascend-performance-regression/SKILL.md,workspace,87f93f1cc3bb85bf0e5036df8d29eb23c4d0f647e32ee55446c7e9ca6bdfe49a,18,1134,489,False
.claude/skills/vllm-ascend-serving/SKILL.md,workspace,d39337dcdf8dd7f2a6f8754a89bae67eb45c6b2e3cf08f591d99c06eaa5dff0f,18,871,286,False
.trae/skills/machine-management/SKILL.md,workspace,2415aa3a7095ac4596029b166663a7319520a700eac382adbbe85dac497e4f40,14,614,254,True
.trae/skills/modelscope/SKILL.md,workspace,b4b5377a496ddf2a95eb758f7563967d024226c58a4598b4e874beb071f74bcb,84,3353,271,True
.trae/skills/remote-code-parity/SKILL.md,workspace,f82ab9a3437986d34ec891ec8e7e2831d45327b5832ff61a87b5613c1ab2cd73,14,652,312,True
.trae/skills/repo-init/SKILL.md,workspace,c3e635ed52d54ffd36d9985be13222d5ae337c73f46614bcac3fc8984a8b0d8e,14,469,151,True
.trae/skills/vllm-ascend-serving/SKILL.md,workspace,30a6d3c33fb1f073c5e8774da7373545f4c33d87178fe78df6bda0da9fb2a1c3,28,1073,311,True
AGENTS.md,workspace,4c00966af76bb261dd8a5e1a03798eb9f134a8867e115aaf163a9f2b4f26d7a7,112,8570,,
vllm/AGENTS.md,vllm,31d316c5dbc8173b062c3fe4a456cbab4772b0d7c75509289cb0e50d9d7fb5f1,113,3134,,
vllm-ascend/.agents/skills/main2main/SKILL.md,vllm-ascend,e451990d8fa648ced3914faf1119d090e3a9eeed9946f74103f34f294be697d3,277,10040,105,True
vllm-ascend/.agents/skills/vllm-ascend-model-adapter/SKILL.md,vllm-ascend,0ef9f14f2e7d1fe6c6967644158504542248965d1870b1a473fb74173ad1b119,140,8717,228,True
vllm-ascend/.agents/skills/vllm-ascend-release-note-writer/SKILL.md,vllm-ascend,72d9a0ddfdee5e3fe95aa37f1b263556e894016d921a94feeabd8eb625181ba5,79,4005,144,True
vllm-ascend/AGENTS.md,vllm-ascend,4178cf4e36b057927070c65884d8466ae79dd77bb26262d62ca4e8b5465a6d46,417,13520,,
